date,precipitation_mm
1991-01,100.1
1991-02,59.3
1991-03,94.3
1991-04,76.4
1991-05,18.9
1991-06,15.7
1991-07,20.9
1991-08,22.1
1991-09,37.3
1991-10,40.8
1991-11,98.6
1991-12,112.0
1992-01,92.1
1992-02,126.6
1992-03,85.4
1992-04,40.7
1992-05,42.7
1992-06,17.7
1992-07,27.2
1992-08,24.3
1992-09,35.2
1992-10,43.3
1992-11,111.2
1992-12,80.8
1993-01,77.5
1993-02,75.4
1993-03,87.3
1993-04,62.5
1993-05,43.3
1993-06,28.7
1993-07,42.3
1993-08,21.4
1993-09,31.3
1993-10,41.4
1993-11,89.9
1993-12,126.7
1994-01,86.5
1994-02,63.6
1994-03,54.3
1994-04,69.1
1994-05,48.6
1994-06,29.9
1994-07,15.8
1994-08,26.8
1994-09,39.1
1994-10,59.4
1994-11,98.4
1994-12,92.3
1995-01,114.1
1995-02,87.4
1995-03,80.2
1995-04,68.6
1995-05,22.5
1995-06,22.1
1995-07,17.0
1995-08,19.7
1995-09,34.1
1995-10,92.8
1995-11,53.5
1995-12,119.7
1996-01,49.9
1996-02,75.9
1996-03,76.7
1996-04,67.5
1996-05,48.1
1996-06,32.6
1996-07,17.7
1996-08,21.0
1996-09,50.6
1996-10,51.4
1996-11,46.4
1996-12,57.4
1997-01,65.2
1997-02,101.5
1997-03,76.2
1997-04,70.0
1997-05,32.3
1997-06,26.1
1997-07,24.9
1997-08,22.2
1997-09,44.0
1997-10,43.6
1997-11,63.8
1997-12,74.6
1998-01,59.2
1998-02,101.2
1998-03,61.5
1998-04,55.2
1998-05,44.4
1998-06,28.9
1998-07,25.2
1998-08,23.9
1998-09,32.3
1998-10,53.5
1998-11,40.2
1998-12,51.4
1999-01,56.6
1999-02,60.2
1999-03,83.4
1999-04,40.1
1999-05,32.9
1999-06,38.9
1999-07,17.7
1999-08,32.0
1999-09,27.0
1999-10,51.2
1999-11,52.0
1999-12,75.8
2000-01,120.8
2000-02,46.6
2000-03,84.4
2000-04,59.8
2000-05,30.5
2000-06,14.9
2000-07,20.5
2000-08,20.5
2000-09,40.7
2000-10,55.4
2000-11,127.0
2000-12,78.5
2001-01,62.9
2001-02,90.8
2001-03,78.3
2001-04,88.5
2001-05,50.2
2001-06,28.0
2001-07,33.4
2001-08,16.3
2001-09,30.0
2001-10,39.8
2001-11,63.3
2001-12,52.7
2002-01,112.4
2002-02,78.9
2002-03,43.3
2002-04,38.5
2002-05,41.8
2002-06,33.1
2002-07,40.2
2002-08,68.5
2002-09,43.4
2002-10,38.9
2002-11,34.4
2002-12,93.7
2003-01,67.7
2003-02,73.8
2003-03,58.5
2003-04,52.4
2003-05,54.5
2003-06,26.1
2003-07,18.9
2003-08,17.2
2003-09,20.9
2003-10,46.4
2003-11,71.1
2003-12,158.4
2004-01,94.2
2004-02,120.3
2004-03,60.9
2004-04,36.3
2004-05,26.8
2004-06,19.2
2004-07,42.1
2004-08,18.5
2004-09,50.3
2004-10,40.1
2004-11,100.4
2004-12,97.6
2005-01,85.2
2005-02,84.1
2005-03,57.7
2005-04,64.3
2005-05,32.0
2005-06,16.1
2005-07,12.8
2005-08,26.2
2005-09,65.2
2005-10,58.2
2005-11,69.6
2005-12,94.3
2006-01,142.2
2006-02,92.1
2006-03,62.8
2006-04,81.0
2006-05,43.6
2006-06,42.3
2006-07,21.3
2006-08,16.1
2006-09,23.2
2006-10,98.0
2006-11,132.5
2006-12,80.1
2007-01,78.7
2007-02,142.3
2007-03,49.2
2007-04,40.2
2007-05,47.0
2007-06,21.5
2007-07,20.0
2007-08,23.3
2007-09,42.2
2007-10,90.0
2007-11,74.8
2007-12,106.9
2008-01,43.9
2008-02,83.9
2008-03,54.0
2008-04,35.9
2008-05,27.6
2008-06,22.0
2008-07,27.6
2008-08,15.5
2008-09,37.9
2008-10,46.4
2008-11,64.6
2008-12,121.2
2009-01,108.7
2009-02,136.2
2009-03,68.7
2009-04,43.1
2009-05,34.7
2009-06,26.9
2009-07,21.3
2009-08,16.9
2009-09,38.7
2009-10,59.6
2009-11,175.0
2009-12,164.5
2010-01,66.8
2010-02,77.1
2010-03,43.4
2010-04,44.7
2010-05,41.9
2010-06,37.7
2010-07,15.5
2010-08,19.6
2010-09,17.7
2010-10,52.0
2010-11,50.0
2010-12,70.9
2011-01,66.2
2011-02,82.5
2011-03,39.2
2011-04,32.9
2011-05,79.0
2011-06,15.7
2011-07,13.6
2011-08,47.0
2011-09,103.7
2011-10,36.5
2011-11,63.7
2011-12,96.1
2012-01,164.8
2012-02,60.4
2012-03,66.5
2012-04,72.2
2012-05,43.7
2012-06,21.6
2012-07,19.1
2012-08,15.3
2012-09,34.5
2012-10,50.1
2012-11,78.6
2012-12,70.2
2013-01,106.1
2013-02,121.6
2013-03,76.6
2013-04,62.2
2013-05,38.2
2013-06,24.7
2013-07,15.5
2013-08,27.6
2013-09,36.2
2013-10,114.4
2013-11,125.7
2013-12,97.6
2014-01,68.9
2014-02,57.8
2014-03,110.0
2014-04,60.3
2014-05,44.4
2014-06,13.4
2014-07,27.7
2014-08,28.9
2014-09,25.4
2014-10,46.6
2014-11,79.5
2014-12,86.9
2015-01,81.3
2015-02,82.3
2015-03,66.4
2015-04,58.0
2015-05,62.8
2015-06,10.1
2015-07,18.4
2015-08,26.3
2015-09,41.6
2015-10,48.3
2015-11,39.2
2015-12,95.7
2016-01,164.7
2016-02,49.9
2016-03,98.1
2016-04,49.0
2016-05,36.7
2016-06,17.1
2016-07,17.8
2016-08,38.9
2016-09,46.0
2016-10,100.9
2016-11,109.5
2016-12,99.5
2017-01,165.7
2017-02,99.5
2017-03,96.9
2017-04,49.6
2017-05,38.4
2017-06,19.3
2017-07,28.3
2017-08,16.3
2017-09,49.3
2017-10,51.4
2017-11,109.2
2017-12,111.0
2018-01,170.2
2018-02,110.2
2018-03,41.8
2018-04,53.7
2018-05,24.9
2018-06,20.6
2018-07,33.9
2018-08,30.9
2018-09,29.4
2018-10,38.6
2018-11,73.3
2018-12,55.7
2019-01,71.2
2019-02,95.2
2019-03,108.6
2019-04,68.1
2019-05,16.8
2019-06,27.5
2019-07,20.5
2019-08,28.5
2019-09,66.0
2019-10,26.7
2019-11,59.0
2019-12,104.9
2020-01,51.7
2020-02,143.0
2020-03,82.5
2020-04,74.0
2020-05,30.7
2020-06,32.8
2020-07,29.1
2020-08,26.8
2020-09,40.7
2020-10,60.5
2020-11,53.6
2020-12,81.0
